题目1: 817.0÷344.0+544.0=
题目1782: 559.0+831.0=
题目1783: 858.0+398.0=
题目1784: 895.0÷842.0=
题目1785: 855.0-404.0=
题目1786: 890.0+605.0=
题目1787: 119.0×933.0+785.0=
题目1788: 975.0-571.0=
题目1789: 362.0×174.0=
题目1790: (728.0-403.0)×622.0=
题目1791: 43.0+409.0=
题目1792: 506.0×663.0=
题目1793: 859.0×416.0=
题目1794: 797.0×545.0=
题目1795: 392.0×85.0=
题目1796: 971.0-93.0=
题目1797: 261.0+319.0÷832.0×587.0=
题目1798: 108.0×753.0×568.0=
题目1799: 950.0+104.0-309.0=
题目1800: 721.0÷512.0=
题目1801: 362.0+393.0-438.0=
题目1802: 309.0×616.0×741.0=
题目1803: 901.0-804.0=
题目1804: 196.0+409.0+465.0=
题目1805: 944.0×282.0=
题目1806: 293.0+35.0=
题目1807: 917.0-296.0=
题目1808: (956.0-507.0)÷129.0=
题目1809: 402.0÷235.0=
题目1810: 184.0÷673.0=
题目1811: 440.0+619.0÷811.0=
题目1812: 951.0×585.0×114.0=
题目1813: 817.0-283.0=
题目1814: 709.0+683.0=
题目1815: 459.0÷689.0=
题目1816: (564.0-7.0)×935.0=
题目1817: 794.0×325.0×394.0=
题目1818: 893.0-143.0+154.0=
题目1819: (679.0-642.0)÷96.0=
题目1820: 876.0-682.0=
题目1821: 466.0÷694.0=
题目1822: 431.0+116.0=
题目1823: 84.0÷970.0×105.0=
题目1824: 701.0-807.0+628.0=
题目1825: 996.0-720.0=
题目1826: 622.0÷42.0=
题目1827: 301.0×910.0=
题目1828: 44.0÷261.0+469.0=
题目1829: 851.0+393.0=
题目1830: 946.0×387.0÷898.0=
题目1831: 809.0×215.0×722.0=
题目1832: 102.0÷408.0+179.0=
题目1833: 85.0÷783.0=
题目1834: 747.0÷390.0×871.0=
题目1835: 722.0×894.0=
题目1836: 817.0×450.0+268.0=
题目1837: 540.0×559.0+993.0=
题目1838: 796.0+150.0-392.0=
题目1839: 119.0-26.0=
题目1840: 818.0÷299.0=
题目1841: 919.0-663.0=
题目1842: 827.0-130.0=
题目1843: (830.0-747.0)×658.0=
题目1844: 780.0÷428.0=
题目1845: (782.0-463.0)÷48.0=
题目1846: 341.0-161.0=
题目1847: 592.0+375.0×36.0=
题目1848: 528.0×792.0×529.0=
题目1849: 903.0×13.0+451.0=
题目1850: 415.0+480.0=
题目1851: 884.0+868.0×814.0+270.0=
题目1852: 804.0×421.0+507.0=
题目1853: 657.0×18.0=
题目1854: 884.0÷296.0×886.0=
题目1855: 925.0+335.0×646.0=
题目1856: 951.0-67.0=
题目1857: 902.0-350.0=
题目1858: 236.0-998.0+843.0=
题目1859: 488.0+719.0×188.0=
题目1860: 785.0+147.0-470.0=
题目1861: 329.0÷419.0÷509.0=
题目1862: 528.0×963.0=
题目1863: 627.0÷617.0=
题目1864: 652.0÷866.0+382.0=
题目1865: (923.0-407.0)÷876.0=
题目1866: 391.0×717.0=
题目1867: 967.0÷530.0=
题目1868: 589.0×767.0=
题目1869: 142.0×125.0=
题目1870: (816.0-442.0)÷503.0=
题目1871: 315.0+214.0+514.0=
题目1872: 668.0+730.0÷306.0-295.0=
题目1873: (571.0-197.0)×587.0=
题目1874: 155.0×267.0+503.0=
题目1875: 590.0-681.0+273.0=
题目1876: 715.0÷567.0÷536.0=
题目1877: 870.0÷658.0=
题目1878: 558.0×806.0=
题目1879: 276.0÷121.0+732.0=
题目1880: 411.0÷919.0+137.0=
题目1881: 266.0÷49.0+871.0=
题目1882: 865.0×20.0+398.0=
题目1883: 521.0×510.0÷974.0=
题目1884: 78.0÷172.0=
题目1885: 490.0÷798.0=
题目1886: 563.0×529.0÷233.0=
题目1887: 966.0+426.0+667.0+848.0=
题目1888: 448.0×421.0=
题目1889: 337.0×798.0=
题目1890: 638.0+753.0=
题目1891: 131.0+666.0×384.0=
题目1892: 706.0÷317.0=
题目1893: 422.0÷604.0+988.0=
题目1894: 920.0-191.0=
题目1895: 705.0+772.0=
题目1896: 133.0+892.0=
题目1897: 467.0×958.0×904.0=
题目1898: 711.0-174.0=
题目1899: 809.0÷993.0+409.0=
题目1900: 970.0-940.0=
题目1901: 991.0÷561.0×205.0=
题目1902: 671.0×756.0=
题目1903: 672.0+467.0+247.0=
题目1904: (574.0-88.0)×628.0=
题目1905: 662.0×392.0+122.0=
题目1906: 537.0+223.0=
题目1907: 74.0-33.0=
题目1908: 725.0×688.0=
题目1909: 734.0+115.0-507.0+298.0=
题目1910: 521.0×760.0=
题目1911: 339.0+941.0=
题目1912: 124.0+768.0=
题目1913: 591.0×219.0+332.0=
题目1914: 174.0+317.0×911.0=
题目1915: 597.0+409.0=
题目1916: 303.0+682.0-451.0=
题目1917: 175.0+964.0÷145.0=
题目1918: 344.0+718.0=
题目1919: 805.0+25.0=
题目1920: 480.0-231.0=
题目1921: 660.0×981.0÷969.0=
题目1922: 307.0+445.0÷967.0=
题目1923: 911.0÷462.0=
题目1924: 517.0+448.0=
题目1925: 971.0-753.0=
题目1926: 219.0×484.0=
题目1927: 408.0×328.0+859.0=
题目1928: 569.0×942.0×835.0=
题目1929: 430.0-617.0+640.0=
题目1930: 442.0×784.0×401.0=
题目1931: 57.0×239.0=
题目1932: 242.0+703.0=
题目1933: 501.0÷768.0=
题目1934: 236.0×414.0×739.0=
题目1935: 92.0×157.0=
题目1936: 24.0×972.0+286.0=
题目1937: 459.0×182.0=
题目1938: 617.0-222.0=
题目1939: 452.0×473.0=
题目1940: (913.0-560.0)÷834.0=
题目1941: 173.0×550.0=
题目1942: 969.0+61.0=
题目1943: 445.0×352.0+552.0=
题目1944: 490.0-93.0+69.0=
题目1945: (286.0-84.0)÷75.0=
题目1946: 399.0÷796.0=
题目1947: 798.0+937.0=
题目1948: 54.0+960.0=
题目1949: 991.0+910.0=
题目1950: 248.0+993.0=
题目1951: 127.0÷819.0×478.0=
题目1952: 525.0÷154.0=
题目1953: (911.0-183.0)×871.0=
题目1954: 227.0÷688.0+757.0=
题目1955: 714.0×350.0=
题目1956: 45.0÷951.0=
题目1957: 412.0+967.0=
题目1958: 409.0÷282.0+819.0=
题目1959: 990.0+606.0÷521.0=
题目1960: 976.0-800.0=
题目1961: 182.0+361.0×105.0=
题目1962: 861.0×359.0+834.0=
题目1963: 513.0÷326.0×842.0=
题目1964: 846.0×898.0×289.0=
题目1965: 268.0×12.0=
题目1966: 717.0-149.0=
题目1967: 940.0÷972.0÷235.0=
题目1968: 926.0×875.0×358.0=
题目1969: 662.0+8.0÷172.0×23.0=
题目1970: 371.0÷848.0=
题目1971: 827.0×422.0=
题目1972: 535.0÷668.0=
题目1973: 887.0×226.0×808.0=
题目1974: 114.0+433.0-312.0=
题目1975: 972.0×96.0+544.0=
题目1976: 792.0×331.0×974.0=
题目1977: 896.0-19.0=
题目1978: 189.0+958.0=
题目1979: (400.0-370.0)×817.0=
题目1980: 731.0+814.0=
题目1981: 862.0+279.0+871.0=
题目1982: 714.0+787.0=
题目1983: 210.0÷983.0÷180.0=
题目1984: 274.0÷632.0×69.0=
题目1985: 308.0×192.0=
题目1986: 610.0÷884.0=
题目1987: 124.0×496.0+174.0=
题目1988: (693.0-130.0)×319.0=
题目1989: 773.0÷481.0×401.0=
题目1990: 171.0-104.0=
题目1991: 680.0+916.0-215.0=
题目1992: 364.0×903.0×500.0=
题目1993: 322.0÷282.0=
题目1994: 400.0÷988.0÷850.0=
题目1995: 579.0÷514.0÷848.0=
题目1996: (905.0-358.0)÷504.0=
题目1997: 846.0-631.0+970.0=
题目1998: 720.0×662.0+704.0=
题目1999: 398.0+792.0=
题目2000: 392.0×839.0×522.0=
题目2001: 756.0+452.0÷171.0=
题目2002: 489.0-398.0=
题目2003: 113.0×6.0+677.0=
题目2004: 708.0÷168.0÷29.0=
题目2005: 195.0+834.0=
题目2006: 280.0-9.0=
题目2007: 517.0+427.0=
题目2008: 971.0÷149.0=
题目2009: 325.0×302.0×592.0=
题目2010: 33.0÷648.0=
题目2011: (260.0-31.0)÷588.0=
题目2012: (690.0-682.0)×692.0=
题目2013: 549.0+670.0=
题目2014: 306.0÷713.0=
题目2015: 979.0×998.0+368.0=
题目2016: 215.0+702.0×755.0=
题目2017: 142.0÷1.0+30.0=
题目2018: 976.0÷277.0+653.0=
题目2019: (877.0-804.0)×826.0=
题目2020: 622.0+246.0÷417.0=
题目2021: 977.0÷863.0=
题目2022: 988.0×300.0=
题目2023: 916.0+930.0-885.0+950.0=
题目2024: 643.0×423.0+569.0=
题目2025: 694.0-142.0=
题目2026: 738.0×938.0×262.0=
题目2027: 368.0×167.0×572.0=
题目2028: 930.0-819.0=
题目2029: 446.0÷504.0+18.0=
题目2030: 246.0×790.0=
题目2031: 196.0+626.0=
题目2032: (309.0-292.0)×926.0=
题目2033: (680.0-675.0)×168.0=
题目2034: 26.0+100.0=
题目2035: 287.0÷134.0=
题目2036: 399.0×664.0=
题目2037: 197.0×781.0=
题目2038: 633.0-514.0=
题目2039: 603.0×683.0=
题目2040: 880.0+744.0=
题目2041: 639.0÷470.0=
题目2042: 396.0+517.0-510.0=
题目2043: 85.0÷640.0=
题目2044: 409.0×586.0÷371.0=
题目2045: 452.0×219.0=
题目2046: 339.0÷580.0÷584.0=
题目2047: 378.0+796.0÷432.0=
题目2048: 813.0÷294.0+644.0=
题目2049: 587.0+965.0=
题目2050: 929.0-660.0=
题目2051: 574.0×721.0=
题目2052: 203.0÷763.0=
题目2053: 344.0+945.0+741.0=
题目2054: 89.0-67.0=
题目2055: 599.0÷134.0=
题目2056: 190.0÷540.0+868.0=
题目2057: 632.0+749.0=
题目2058: 873.0-656.0=
题目2059: 892.0÷687.0=
题目2060: 547.0-94.0=
题目2061: (399.0-100.0)÷56.0=
题目2062: 77.0+38.0÷963.0×706.0=
题目2063: 49.0÷922.0=
题目2064: 143.0÷439.0=
题目2065: 967.0×184.0÷825.0=
题目2066: 661.0÷322.0=
题目2067: 936.0×150.0=
题目2068: 870.0-5.0=
题目2069: 512.0+439.0=
题目2070: 612.0÷833.0=
题目2071: 897.0×760.0=
题目2072: 384.0×298.0=
题目2073: 279.0+960.0=
题目2074: 80.0+900.0×113.0+620.0=
题目2075: 415.0×794.0=
题目2076: 544.0÷37.0=
题目2077: 474.0+253.0=
题目2078: 712.0+789.0×462.0=
题目2079: 193.0÷988.0×367.0=
题目2080: 322.0-153.0=
题目2081: 383.0-245.0=
题目2082: 843.0+10.0=
题目2083: (988.0-587.0)×469.0=
题目2084: 667.0+196.0=
题目2085: (782.0-381.0)×531.0=
题目2086: 885.0-857.0+201.0=
题目2087: 191.0×600.0=
题目2088: 43.0+927.0-546.0=
题目2089: 424.0+794.0×729.0+41.0=
题目2090: 636.0×863.0=
题目2091: (825.0-721.0)÷689.0=
题目2092: (500.0-102.0)÷861.0=
题目2093: 73.0×399.0=
题目2094: 244.0÷473.0=
题目2095: 933.0÷310.0÷17.0=
题目2096: 803.0-624.0=
题目2097: 987.0×177.0+703.0=
题目2098: 750.0-625.0=
题目2099: 897.0÷109.0÷184.0=
题目2100: (672.0-309.0)÷857.0=
题目2101: 953.0+576.0=
题目2102: 23.0÷183.0÷529.0=
题目2103: 320.0÷102.0÷58.0=
题目2104: 733.0+52.0=
题目2105: 93.0+515.0÷205.0=
题目2106: 708.0-436.0=
题目2107: 682.0÷287.0+457.0=
题目2108: 385.0÷330.0=
题目2109: 118.0÷5.0÷112.0=
题目2110: 353.0×521.0=
题目2111: 945.0-579.0=
题目2112: 772.0×497.0÷123.0=
题目2113: 133.0÷532.0÷805.0=
题目2114: 164.0+184.0×236.0+584.0=
题目2115: 946.0×638.0=
题目2116: 528.0+57.0×761.0=
题目2117: 284.0+840.0=
题目2118: 67.0×814.0=
题目2119: (315.0-296.0)×241.0=
题目2120: 654.0-485.0=
题目2121: 295.0+871.0=
题目2122: 786.0+18.0=
题目2123: 711.0×44.0÷882.0=
题目2124: 523.0-355.0=
题目2125: 456.0×253.0=
题目2126: 509.0÷604.0=
题目2127: 104.0÷869.0+769.0=
题目2128: 453.0-176.0=
题目2129: (796.0-251.0)×651.0=
题目2130: 573.0÷918.0=
题目2131: 876.0+19.0÷325.0×400.0=
题目2132: 537.0÷646.0=
题目2133: 400.0×368.0=
题目2134: 352.0+742.0=
题目2135: 601.0×301.0+645.0=
题目2136: 181.0×638.0=
题目2137: 661.0×706.0=
题目2138: 239.0×645.0+711.0=
题目2139: 512.0÷803.0×456.0=
题目2140: 864.0-318.0=
题目2141: 744.0+917.0-215.0=
题目2142: 621.0÷26.0=
题目2143: 753.0÷208.0=
题目2144: 277.0×525.0×232.0=
题目2145: 336.0÷354.0×643.0=
题目2146: (752.0-372.0)÷413.0=
题目2147: 594.0+60.0=
题目2148: 209.0÷173.0÷58.0=
题目2149: 354.0÷157.0=
题目2150: 345.0+896.0×696.0=
题目2151: 11.0÷854.0=
题目2152: 872.0-574.0=
题目2153: 291.0+763.0×683.0=
题目2154: 176.0-1.0=
题目2155: 989.0-200.0=
题目2156: 767.0+542.0+83.0=
题目2157: 850.0+418.0÷324.0×620.0=
题目2158: 647.0÷930.0×54.0=
题目2159: 71.0÷716.0=
题目2160: 921.0+483.0=
题目2161: 869.0-707.0=
题目2162: 786.0+828.0=
题目2163: 679.0×979.0+94.0=
题目2164: 962.0÷309.0=
题目2165: 99.0+792.0=
题目2166: 580.0-463.0=
题目2167: 183.0+853.0×197.0=
题目2168: 170.0-172.0+643.0=
题目2169: 180.0-73.0=
题目2170: (918.0-588.0)÷273.0=
题目2171: 699.0-477.0=
题目2172: 942.0÷418.0+900.0=
题目2173: 279.0×761.0=
题目2174: 698.0×105.0+626.0=
题目2175: 255.0-33.0=
题目2176: 446.0÷130.0=
题目2177: 943.0+310.0×250.0+742.0=
题目2178: 644.0-25.0=
题目2179: 598.0×39.0=
题目2180: 874.0+308.0+959.0=
题目2181: 128.0+628.0+803.0=
题目2182: 980.0×157.0+317.0=
题目2183: 684.0÷80.0=
题目2184: 417.0+410.0×380.0=
题目2185: 622.0×23.0÷253.0=
题目2186: 527.0-214.0=
题目2187: 789.0+805.0×310.0=
题目2188: 326.0+902.0+472.0=
题目2189: 121.0×377.0=
题目2190: 176.0÷276.0=
题目2191: 685.0×91.0=
题目2192: 463.0-364.0+286.0=
题目2193: 696.0+569.0=
题目2194: 493.0÷7.0=
题目2195: 345.0×718.0+689.0=
题目2196: (628.0-273.0)÷689.0=
题目2197: 697.0+767.0=
题目2198: 596.0÷102.0÷122.0=
题目2199: 507.0÷694.0=
题目2200: 628.0×863.0+554.0=
题目2201: 42.0÷51.0=
题目2202: 362.0+320.0=
题目2203: 322.0×684.0=
题目2204: 98.0-717.0+885.0=
题目2205: (410.0-114.0)÷631.0=
题目2206: 666.0-168.0=
题目2207: 939.0÷306.0=
题目2208: 990.0+125.0=
题目2209: (590.0-42.0)÷903.0=
题目2210: 699.0-106.0=
题目2211: 588.0+962.0=
题目2212: 448.0+189.0+686.0=
题目2213: 835.0-145.0=
题目2214: 55.0+882.0×88.0=
题目2215: 234.0×340.0×709.0=
题目2216: (804.0-528.0)÷711.0=
题目2217: 204.0÷915.0=
题目2218: 171.0+650.0+286.0+400.0=
题目2219: 928.0-337.0=
题目2220: 543.0-259.0=
题目2221: 900.0-463.0=
题目2222: 581.0×412.0=
题目2223: 511.0÷114.0÷594.0=
题目2224: 247.0÷734.0=
题目2225: 410.0÷915.0÷125.0=
题目2226: 461.0×944.0+772.0=
题目2227: (862.0-544.0)×434.0=
题目2228: 901.0-15.0=
题目2229: 205.0-180.0=
题目2230: 38.0÷398.0=
题目2231: 902.0-202.0=
题目2232: 711.0-144.0=
题目2233: 210.0×248.0=
题目2234: 276.0+328.0-110.0=
题目2235: 711.0×668.0=
题目2236: 637.0-606.0=
题目2237: 773.0+5.0-106.0=
题目2238: 976.0÷961.0+602.0=
题目2239: 831.0+708.0=
题目2240: 684.0÷165.0+578.0=
题目2241: 670.0×597.0+962.0=
题目2242: 169.0+381.0×278.0+702.0=
题目2243: 889.0-547.0=
题目2244: 715.0+437.0=
题目2245: 997.0-314.0+187.0=
题目2246: 372.0÷227.0=
题目2247: 768.0÷199.0×491.0=
题目2248: 30.0+133.0÷597.0=
题目2249: 974.0×78.0+360.0=
题目2250: 287.0+805.0+745.0+740.0=
题目2251: 127.0+756.0-367.0=
题目2252: 847.0+312.0=
题目2253: 579.0-139.0+931.0=
题目2254: 271.0×760.0=
题目2255: 35.0+819.0-514.0=
题目2256: 536.0÷631.0×137.0=
题目2257: 782.0×757.0=
题目2258: 147.0×232.0×307.0=
题目2259: 592.0×414.0=
题目2260: 639.0+500.0=
题目2261: 286.0×305.0×741.0=
题目2262: 739.0×899.0+841.0=
题目2263: 682.0×10.0+894.0=
题目2264: 978.0-111.0=
题目2265: 892.0×314.0=
题目2266: 612.0-82.0=
题目2267: 840.0-393.0=
题目2268: 403.0+249.0=
题目2269: 295.0×637.0+675.0=
题目2270: 726.0×693.0×76.0=
题目2271: 496.0÷818.0+977.0=
题目2272: 433.0÷290.0=
题目2273: 15.0×949.0+79.0=
题目2274: 949.0+546.0=
题目2275: 934.0-430.0=
题目2276: 409.0+587.0=
题目2277: 830.0÷202.0=
题目2278: 260.0÷204.0=
题目2279: 312.0×477.0+655.0=
题目2280: 714.0+672.0÷484.0=
题目2281: 454.0×222.0=
题目2282: 290.0×170.0×861.0=
题目2283: 945.0×767.0=
题目2284: (851.0-610.0)×178.0=
题目2285: 345.0+991.0=
题目2286: 672.0×567.0=
题目2287: 265.0+291.0=
题目2288: 263.0-954.0+710.0=
题目2289: 245.0÷89.0=
题目2290: 300.0÷848.0=
题目2291: 389.0÷294.0+762.0=
题目2292: 695.0÷639.0=
题目2293: 343.0×985.0÷578.0=
题目2294: 368.0÷776.0=
题目2295: (813.0-100.0)÷80.0=
题目2296: (756.0-54.0)÷47.0=
题目2297: 341.0+795.0-339.0=
题目2298: 724.0×37.0=
题目2299: 969.0+65.0=
题目2300: 601.0+12.0×125.0=
题目2301: 52.0×369.0+844.0=
题目2302: 411.0-219.0=
题目2303: 323.0×143.0=
题目2304: 460.0+263.0+186.0=
题目2305: 563.0+913.0÷820.0=
题目2306: 340.0÷367.0×330.0=
题目2307: 177.0+867.0×877.0+356.0=
题目2308: 274.0×182.0÷640.0=
题目2309: 189.0+633.0×358.0=
题目2310: 883.0×519.0=
题目2311: 354.0÷310.0÷39.0=
题目2312: 889.0-390.0=
题目2313: 208.0+877.0=
题目2314: 605.0+216.0=
题目2315: 498.0+159.0=
题目2316: 188.0+900.0=
题目2317: (260.0-163.0)÷924.0=
题目2318: 514.0+425.0=
题目2319: 130.0+585.0+187.0=
题目2320: 225.0+953.0×766.0=
题目2321: 453.0-110.0+272.0=
题目2322: 52.0×302.0=
题目2323: 932.0-41.0=
题目2324: 941.0+868.0×303.0+261.0=
题目2325: 826.0+925.0+186.0+203.0=
题目2326: 168.0÷228.0÷690.0=
题目2327: 13.0×826.0=
题目2328: (929.0-878.0)÷538.0=
题目2329: 724.0+862.0+945.0=
题目2330: 213.0+1.0=
题目2331: 275.0×661.0÷212.0=
题目2332: 133.0×706.0×556.0=
题目2333: 378.0+671.0=
题目2334: 301.0×392.0÷566.0=
题目2335: 360.0+10.0=
题目2336: 482.0×964.0+227.0=
题目2337: 938.0÷99.0=
题目2338: 717.0÷952.0=
题目2339: 925.0×561.0=
题目2340: 728.0÷523.0=
题目2341: 611.0÷22.0=
题目2342: 720.0×583.0=
题目2343: 584.0-332.0=
题目2344: 542.0+338.0×409.0=
题目2345: 861.0×92.0=
题目2346: 504.0-370.0=
题目2347: 388.0×357.0=
题目2348: 155.0-274.0+421.0=
题目2349: 724.0÷918.0×575.0=
题目2350: 180.0×825.0=
题目2351: 53.0-300.0+804.0=
题目2352: 936.0+464.0-647.0=
题目2353: 567.0+476.0=
题目2354: 258.0÷268.0÷388.0=
题目2355: (882.0-65.0)×506.0=
题目2356: (942.0-119.0)÷748.0=
题目2357: 827.0+959.0-467.0=
题目2358: 306.0+209.0×424.0=
题目2359: (617.0-358.0)×55.0=
题目2360: 141.0+965.0-647.0=
题目2361: 48.0+237.0÷175.0=
题目2362: 375.0+290.0÷184.0=
题目2363: 345.0×549.0=
题目2364: 744.0+631.0=
题目2365: 664.0×982.0+29.0=
题目2366: 539.0×18.0+236.0=
题目2367: 993.0÷731.0=
题目2368: 535.0-474.0=
题目2369: 386.0+846.0×829.0+423.0=
题目2370: 981.0×880.0×953.0=
题目2371: 917.0×967.0=
题目2372: 399.0÷202.0÷287.0=
题目2373: 292.0+232.0-22.0=
题目2374: 350.0×681.0=
题目2375: 712.0-258.0+142.0=
题目2376: 334.0÷290.0=
题目2377: 178.0+122.0+327.0=
题目2378: 738.0×405.0×789.0=
题目2379: 347.0÷355.0=
题目2380: 338.0+859.0÷787.0=
题目2381: 643.0-428.0=
题目2382: 745.0÷97.0+690.0=
题目2383: 894.0÷570.0÷116.0=
题目2384: 16.0÷209.0=
题目2385: 790.0+733.0=
题目2386: 268.0×464.0=
题目2387: 238.0+172.0÷820.0=
题目2388: 962.0+831.0=
题目2389: 692.0+850.0-995.0+510.0=
题目2390: 318.0×622.0=
题目2391: 47.0+33.0=
题目2392: 796.0-602.0=
题目2393: 545.0-306.0=
题目2394: 195.0+749.0-773.0=
题目2395: 155.0+676.0=
题目2396: 668.0×952.0=
题目2397: 925.0+474.0÷539.0+646.0=
题目2398: 694.0×68.0×867.0=
题目2399: 118.0+251.0-457.0+949.0=
题目2400: 357.0×995.0=
题目2401: 892.0-56.0=
题目2402: 483.0÷80.0=
题目2403: (742.0-741.0)×163.0=
题目2404: 168.0×158.0=
题目2405: (343.0-221.0)×160.0=
题目2406: 871.0+816.0=
题目2407: 36.0+391.0÷803.0=
题目2408: 672.0÷318.0=
题目2409: 737.0+547.0-47.0=
题目2410: 805.0×620.0=
题目2411: 819.0×914.0=
题目2412: 356.0×238.0+127.0=
题目2413: 677.0+142.0×688.0=
题目2414: 959.0-939.0=
题目2415: 976.0÷480.0=
题目2416: 56.0×74.0=
题目2417: 188.0÷138.0=
题目2418: 3.0÷294.0=
题目2419: 430.0-169.0=
题目2420: 739.0÷50.0=
题目2421: (918.0-505.0)÷21.0=
题目2422: 606.0+241.0=
题目2423: 406.0+561.0=
题目2424: (639.0-370.0)×933.0=
题目2425: 677.0÷632.0=
题目2426: (956.0-103.0)÷249.0=
题目2427: (904.0-265.0)×629.0=
题目2428: (672.0-259.0)×909.0=
题目2429: (872.0-496.0)÷828.0=
题目2430: 44.0×712.0×587.0=
题目2431: 109.0÷252.0÷539.0=
题目2432: 974.0×474.0÷152.0=
题目2433: 658.0÷684.0=
题目2434: 838.0+289.0÷438.0-379.0=
题目2435: (400.0-267.0)÷835.0=
题目2436: (520.0-56.0)÷291.0=
题目2437: 410.0+526.0=
题目2438: 222.0÷388.0=
题目2439: 300.0+69.0=
题目2440: 12.0×448.0×299.0=
题目2441: 934.0+489.0=
题目2442: 28.0÷620.0+222.0=
题目2443: 251.0+405.0+308.0=
题目2444: 93.0×590.0=
题目2445: 554.0+266.0+219.0=
题目2446: 122.0×4.0+95.0=
题目2447: 369.0+205.0-456.0=
题目2448: 8.0+493.0÷330.0+338.0=
题目2449: 696.0-499.0=
题目2450: 355.0+641.0=
题目2451: 398.0+205.0=
题目2452: 622.0×257.0=
题目2453: 762.0-731.0=
题目2454: 166.0+504.0+213.0=
题目2455: 462.0×922.0=
题目2456: 916.0+356.0=
题目2457: 138.0+867.0=
题目2458: 211.0+595.0-694.0+75.0=
题目2459: 233.0×129.0=
题目2460: 493.0÷83.0=
题目2461: 232.0-27.0=
题目2462: 540.0+538.0×167.0=
题目2463: 511.0÷812.0=
题目2464: 90.0×40.0÷752.0=
题目2465: 665.0×181.0=
题目2466: 287.0×415.0=
题目2467: 453.0÷605.0+684.0=
题目2468: 227.0×604.0÷342.0=
题目2469: 851.0×755.0=
题目2470: 145.0-394.0+329.0=
题目2471: 454.0+612.0÷187.0=
题目2472: 112.0÷419.0=
题目2473: 911.0-305.0+362.0=
题目2474: 729.0×446.0÷347.0=
题目2475: 342.0÷664.0+307.0=
题目2476: 702.0×886.0=
题目2477: 347.0÷117.0+221.0=
题目2478: 271.0×229.0×678.0=
题目2479: 573.0+641.0=
题目2480: 952.0-80.0=
题目2481: (739.0-185.0)÷470.0=
题目2482: 830.0×630.0=
题目2483: 12.0+810.0=
题目2484: 988.0-210.0=
题目2485: 521.0+470.0+615.0=
题目2486: 888.0÷257.0=
题目2487: 205.0÷499.0×626.0=
题目2488: 887.0+483.0=
题目2489: 500.0+67.0-480.0=
题目2490: 643.0-277.0+118.0=
题目2491: 481.0×144.0÷448.0=
题目2492: 134.0÷768.0=
题目2493: 802.0÷152.0=
题目2494: 979.0+271.0=
题目2495: 773.0-393.0=
题目2496: 872.0+492.0=
题目2497: 622.0×399.0÷145.0=
题目2498: 515.0×292.0=
题目2499: 249.0÷529.0+643.0=
题目2500: (928.0-32.0)÷3.0=
题目2501: 346.0×440.0+996.0=
题目2502: 812.0×398.0×755.0=
题目2503: 654.0×144.0÷876.0=
题目2504: 739.0×326.0=
题目2505: 309.0÷251.0+829.0=
题目2506: 998.0×734.0×697.0=
题目2507: (928.0-9.0)×155.0=
题目2508: 736.0÷80.0=
题目2509: (389.0-371.0)÷327.0=
题目2510: 428.0-267.0=
题目2511: 113.0÷799.0=
题目2512: 188.0÷988.0=
题目2513: 237.0×583.0=
题目2514: 755.0×322.0+362.0=
题目2515: 714.0-646.0=
题目2516: 184.0×6.0÷626.0=
题目2517: 169.0×148.0=
题目2518: 145.0+331.0=
题目2519: 742.0+583.0+976.0=
题目2520: 939.0-708.0=
题目2521: 804.0×989.0=
题目2522: 86.0+435.0÷652.0=
题目2523: 617.0-323.0=
题目2524: 504.0÷877.0=
题目2525: 525.0+515.0÷859.0=
题目2526: 748.0×143.0=
题目2527: 355.0×920.0+483.0=
题目2528: 362.0+831.0÷273.0=
题目2529: 829.0+611.0+179.0=
题目2530: 184.0+226.0×568.0+713.0=
题目2531: 427.0÷263.0×108.0=
题目2532: 835.0-24.0=
题目2533: 270.0-71.0=
题目2534: 654.0×661.0=
题目2535: 417.0×735.0=
题目2536: 879.0×216.0=
题目2537: 286.0×141.0=
题目2538: 665.0+716.0×165.0+766.0=
题目2539: 936.0÷337.0×435.0=
题目2540: 116.0×137.0=
题目2541: 556.0×678.0=
题目2542: 601.0+802.0-69.0=
题目2543: 170.0+292.0-306.0=
题目2544: 455.0+509.0+890.0+996.0=
题目2545: 986.0-977.0+585.0=
题目2546: 361.0×923.0=
题目2547: 282.0+980.0=
题目2548: 686.0×634.0=
题目2549: 1.0×369.0÷885.0=
题目2550: 822.0-445.0=
题目2551: 660.0+506.0-728.0=
题目2552: 472.0-5.0=
题目2553: 579.0+775.0=
题目2554: 131.0÷541.0÷208.0=
题目2555: 873.0×599.0=
题目2556: 272.0÷473.0+512.0=
题目2557: 994.0×886.0+823.0=
题目2558: 651.0+44.0=
题目2559: 983.0+23.0×28.0=
题目2560: 926.0×427.0=
题目2561: 938.0×462.0=
题目2562: 934.0-485.0=
题目2563: 828.0+930.0×763.0=
题目2564: (672.0-572.0)÷831.0=
题目2565: (987.0-657.0)×880.0=
题目2566: 416.0+915.0-496.0=
题目2567: 269.0÷929.0=
题目2568: 657.0-536.0=
题目2569: 792.0+197.0=
题目2570: 921.0+138.0=
题目2571: 822.0-694.0=
题目2572: 867.0×311.0+387.0=
题目2573: 633.0+718.0=
题目2574: 393.0÷323.0+739.0=
题目2575: 625.0-517.0=
题目2576: 862.0÷42.0=
题目2577: 973.0÷819.0÷34.0=
题目2578: 46.0÷654.0=
题目2579: 851.0-225.0=
题目2580: 801.0+933.0-528.0=
